산업,yearmon,mean_ret,mean_fx,mean_flow,next_ret,network_signal,leader_count
건설,2024-12-01,-0.005476805497224013,0.0027781399440586535,-0.0007058444541896379,0.0018898805503930068,0.0,0
건설,2025-01-01,0.0018898805503930068,-0.0013943801859997447,0.002610557620721859,0.004517685155815641,2.3748068018188785e-05,1
건설,2025-02-01,0.004517685155815641,0.00023217335976663794,0.00014954914419456703,0.0007745031180730819,-0.0009159261030197833,1
건설,2025-03-01,0.0007745031180730819,0.0009366957740472918,0.000309221929207794,0.005473331572719751,0.0,0
건설,2025-04-01,0.005473331572719751,-0.000843258593721109,-0.0014104902711030182,,0.0,0
금융,2023-05-01,-0.0004976577813455432,-0.0006571010182924472,-0.0011710057823788368,-0.0017837369471378713,0.0,0
금융,2023-06-01,-0.0017837369471378713,-0.0003261761054857271,-0.0011636884788517657,0.0024482294139510728,0.0,0
금융,2023-07-01,0.0024482294139510728,-0.001189868539380162,0.0003434733692166648,0.00188687782291254,0.0,0
금융,2023-08-01,0.00188687782291254,0.0014581586546178365,-0.00039729205856775095,0.0013912443560447475,0.0,0
금융,2023-09-01,0.0013912443560447475,0.0009303290206245316,0.0006440022867460695,-0.0031553556804491457,0.0,0
금융,2023-10-01,-0.0031553556804491457,0.00032241867624553157,-7.692984600009159e-05,0.0029845237747915007,0.0,0
금융,2023-11-01,0.0029845237747915007,-0.0021687854378604045,0.00043134412881943267,0.0023032334811159305,0.0,0
금융,2023-12-01,0.0023032334811159305,0.0002394016570719736,0.00025067043012548106,0.003382979973947646,0.0,0
금융,2024-01-01,0.003382979973947646,0.0014390827877930226,0.0004880314606768582,0.006443582766944345,0.0,0
금융,2024-02-01,0.006443582766944345,0.0001394471571416936,0.0006570929891066643,0.0010757197675324152,0.0,0
금융,2024-03-01,0.0010757197675324152,0.00048780065190119084,0.00027489272844534907,0.0007665069685275332,0.0,0
금융,2024-04-01,0.0007665069685275332,0.0011264216075361857,0.0008056181464039106,0.0007332952079034368,0.0,0
금융,2024-05-01,0.0007332952079034368,-6.595722400444502e-05,-5.2721038813644e-05,0.0006052009220974503,-0.0012898812506776027,3
금융,2024-06-01,0.0006052009220974503,0.0004884969275817029,-0.00019530413372293896,0.004586921614681704,0.0,0
금융,2024-07-01,0.004586921614681704,-0.00013992318308946093,0.0002520697628078583,-0.00033248344090661873,0.0,0
금융,2024-08-01,-0.00033248344090661873,-0.0017055162539663616,-8.186176370623715e-05,-0.0010389827945183512,8.251914302430472e-05,2
금융,2024-09-01,-0.0010389827945183512,-0.0006498648682445,0.00023389630603098114,0.001013104020867518,0.005340644329070858,1
금융,2024-10-01,0.001013104020867518,0.002370318258041045,8.413835443234399e-05,0.0019965352520008345,-0.0049882209596696855,1
금융,2024-11-01,0.0019965352520008345,0.00040205091301466185,-2.265265170485619e-05,-0.004134042278302946,-0.012474548528443844,1
금융,2024-12-01,-0.004134042278302946,0.0027781399440586535,-0.000448916299310312,0.004153981511786182,-0.0008203357231558597,2
금융,2025-01-01,0.004153981511786182,-0.0013943801859997447,-0.0002547974578785522,-0.0019748826126252113,0.003047251655387015,2
금융,2025-02-01,-0.0019748826126252113,0.00023217335976663794,-0.0006381361420342079,0.000414631687508268,0.0,0
금융,2025-03-01,0.000414631687508268,0.0009366957740472918,-0.00012422734516136802,0.0035259477193383725,0.0,0
금융,2025-04-01,0.0035259477193383725,-0.000843258593721109,-0.00010025053512046,,0.0,0
미디어_엔터,2023-05-01,0.0009853534439367843,-0.0006571010182924472,-0.0034377881567980812,-0.005598563495817876,0.0,0
미디어_엔터,2023-06-01,-0.005598563495817876,-0.0003261761054857271,-0.004131430747650079,-0.0005621967824083372,0.0,0
미디어_엔터,2023-07-01,-0.0005621967824083372,-0.001189868539380162,0.0026668246386045407,-0.002276459666088006,0.0,0
미디어_엔터,2023-08-01,-0.002276459666088006,0.0014581586546178365,-0.0007228798579601802,-0.0031560288940189435,0.0,0
미디어_엔터,2023-09-01,-0.0031560288940189435,0.0009303290206245316,0.0015631127169662318,-0.00545660517315669,0.0,0
미디어_엔터,2023-10-01,-0.00545660517315669,0.00032241867624553157,0.003037675340369007,0.00842649685554777,0.0,0
